"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","institutionCode","locality","collectionCode","stateProvince","recordedBy","DB","BBarcode","b1test","name"
2237879269,"84d26682-f762-11e1-a439-00145eb45e9a",11.59876,54.8312,1967,7,9,"Denmark","DMS-1014399",NA,"Orebygård",NA,NA,"Gunnar Degelius","GBIF",NA,82,"Melanohalea elegantula"
2237882413,"84d26682-f762-11e1-a439-00145eb45e9a",9.404335,54.85168,1967,7,4,"Denmark","DMS-1019728",NA,"Kruså",NA,NA,"Svanhildur Svane","GBIF",NA,79,"Melanohalea elegantula"
911996717,"828a3d8c-f762-11e1-a439-00145eb45e9a",9.123617,48.7675,1950,4,22,"Germany","8116","FR","Stuttgart, vom Botnanger Sattel zum Pfaffensee","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"GBIF",NA,88,"Melanohalea elegantula"
788500817,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",9.091389,48.760833,1950,6,3,"Germany","1256246","LD","Bärenschlössle","General","Baden-Württemberg","E. Putzler","GBIF",NA,88,"Melanohalea elegantula"
788500929,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",7.528333,46.977778,1949,5,22,"Switzerland","1256366","LD","Bantiger","General","Bern","Ove Almborn","GBIF",NA,78,"Melanohalea elegantula"
788500986,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",6.14,46.203889,1949,5,28,"Switzerland","1256426","LD","Genève","General","Genève","Ove Almborn","GBIF",NA,102,"Melanohalea elegantula"
1914128647,"6043b710-f1a6-48bb-a473-8b32b1e43408",22.660931,48.867507,1949,8,10,"Ukraine","LID-11334",NA,"Velikobereznansky district. Окр. с. Чорноголова, г. Лiщинка. Сiножать, на яворi","KPABG(L)","Zakarpatsk province","Makarevitch M.F.","GBIF",NA,69,"Melanohalea elegantula"
885878,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",11.526111,54.691667,1946,7,17,"Denmark","1037185","LD","Kjærstrup","General","Lolland","Ove Almborn","GBIF",NA,82,"Melanohalea elegantula"
885877,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",10.844167,54.997222,1939,8,11,"Denmark","1037121","LD","Tranekær","General","Langeland","Ove Almborn","GBIF",NA,82,"Melanohalea elegantula"
234007148,"905daf20-04fd-11df-8c28-b8a03c50a862",12.53758,53.75312,1938,8,16,"Germany","62541","UME",NA,"General",NA,"Ove Almborn","GBIF",NA,81,"Melanohalea elegantula"
788505430,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",9.16992,52.77034,1938,8,9,"Germany","1261046","LD","No locality information available","General","Niedersachsen","Ove Almborn","GBIF",NA,89,"Melanohalea elegantula"
788505543,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",9.80583,54.18883,1938,8,15,"Germany","1261166","LD","No locality information available","General","Schleswig-Holstein","Ove Almborn","GBIF",NA,82,"Melanohalea elegantula"
788512665,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",10.975,53.907778,1938,8,16,"Germany","1268666","LD","Dassow","General","Mecklenburg-Vorpommern","Ove Almborn","GBIF",NA,85,"Melanohalea elegantula"
788483257,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",18.99999,50.31829,1937,7,6,"Poland","1237822","LD","No locality information available","General","Slaskie","A. Graw","GBIF",NA,84,"Melanohalea elegantula"
911996710,"828a3d8c-f762-11e1-a439-00145eb45e9a",9.61305,47.61445,1937,10,1,"Germany","8115","FR","zwischen Schleinsee und Betznau","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"GBIF",NA,89,"Melanohalea elegantula"
911996699,"828a3d8c-f762-11e1-a439-00145eb45e9a",12.027217,50.40555,1932,5,11,"Germany","8038","FR","Vogtland, Plauen, w Groß Zöbern","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"GBIF",NA,70,"Melanohalea elegantula"
788507488,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",14.532778,52.1425,1931,NA,NA,"Germany","1263253","LD","Fünfeichen","General","Brandenburg","J. Hillmann","GBIF",NA,87,"Melanohalea elegantula"
442144751,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.893611,47.788055,1923,8,NA,"Germany","B 60 0030129 / 145865 / 90107","B","Schwarzwald: Holzinshaus bei Schönau (Wiesental)","Blettaucoll",NA,"Lettau, G.","GBIF",NA,80,"Melanohalea elegantula"
442144749,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.646389,47.757221,1922,5,7,"Germany","B 60 0030124 / 145846 / 90102","B","Baden: Oberhalb Obereggenen (bei Kandern), 400 m.","Blettaucoll",NA,"Lettau, G.","GBIF",NA,92,"Melanohalea elegantula"
442144747,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.953889,47.964722,1921,8,NA,"Germany","B 60 0030122 / 145835 / 90100","B","Schwarzwald: Kirchzarten bei Freiburg","Blettaucoll",NA,"Lettau, G.","GBIF",NA,97,"Melanohalea elegantula"
442144761,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.901667,47.91111,1921,8,7,"Germany","B 60 0030136 / 145856 / 90104","B","Schwarzwald: Schauinsland - Hundsrücken (bei Freiburg), 1200 m.","Blettaucoll",NA,"Lettau, G.","GBIF",NA,56,"Melanohalea elegantula"
442144755,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.823056,47.65139,1920,6,26,"Germany","B 60 0030130 / 145870 / 90108","B","Baden: Schopfheim","Blettaucoll",NA,"Lettau, G.","GBIF",NA,92,"Melanohalea elegantula"
442144760,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.850278,47.996113,1916,4,11,"Germany","B 60 0030133a / 149885 / 91596","B","Baden: 2) Unter Schönberger Hof bei Freiburg","Blettaucoll",NA,"Lettau, G.","GBIF",NA,99,"Melanohalea elegantula"
442144750,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.828333,47.77639,1915,10,31,"Germany","B 60 0030125 / 145850 / 90103","B","Schwarzwald: Bürchau - Elbenschwand (kleines Wiesental)","Blettaucoll",NA,"Lettau, G.","GBIF",NA,72,"Melanohalea elegantula"
442144748,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.661667,47.612778,1914,1,1,"Germany","B 60 0030123 / 145842 / 90101","B","Baden: Eichsel bei Lörrach","Blettaucoll",NA,"Lettau, G.","GBIF",NA,97,"Melanohalea elegantula"
442144759,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.659167,47.786945,1914,6,1,"Germany","B 60 0030133 / 145864 / 90106","B","Baden:  1) Lipburg bei Müllheim","Blettaucoll",NA,"Lettau, G.","GBIF",NA,92,"Melanohalea elegantula"
442144753,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.670278,47.802776,1912,5,5,"Germany","B 60 0030129a / 149878 / 91594","B","[Schwarzwald] Baden: Badenweiler - Schweighof","Blettaucoll",NA,"Lettau, G.","GBIF",NA,89,"Melanohalea elegantula"
442144757,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.914166,47.827778,1912,5,27,"Germany","B 60 0030131 / 145874 / 90109","B","[Schwarzwald] Baden: Knöpflesbrunnen bei Todtnau","Blettaucoll",NA,"Lettau, G.","GBIF",NA,72,"Melanohalea elegantula"
442144780,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.947222,47.831665,1912,5,27,"Germany","B 60 0030926 / 145924 / 90129","B","[Schwarzwald] Baden: Todtnau gegen Knöpflesbrunnen, 900 m.","Blettaucoll",NA,"Lettau, G.","GBIF",NA,72,"Melanohalea elegantula"
442144754,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.904722,47.630554,1910,6,15,"Germany","B 60 0030129b / 149880 / 91595","B","[Schwarzwald] Baden: 2) Wehr an der Strasse ins Wehratal","Blettaucoll",NA,"Lettau, G.","GBIF",NA,91,"Melanohalea elegantula"
