Barcode,type,Gen,Spec,Artname,Determinator,Year of determination,Collector(s),Vornummer,Collection number,Collection number add,Datum,Collecting year,decimalLatitude,decimalLongitude,MPN_Notes,Status,Loc (+ Hab),Habitat,Notes,Running nr,family,altebestimmungen,Country,Originaltext,Otherspecies,Exsiccate name,Exsiccate number,MTB,MTB-QU,MTB-RAST_UN,GRA-UN,LG,OW,BG,NS,LM,BM,edatum,Ablage Fungi,Etinummer,Higher Taxa,Exs abc,Exsiccate name long,Hoehe,Genus,Species,SpeciesAuthorteam,SpeciesBasionymAuthorteam,Rank,InfraEpi,BasionymAuthorteam,Authorteam,RefYear,Qualifier,QualifierRank,ParseName,BestNotes,Anmerkungen,TypusFk,SpecimenFamilie,HöTax,Fundort,DetermFk
B 60 0190503,,Flavoparmelia,caperata,Flavoparmelia caperata (L.) Hale,,,H. Reznik,,,,28 dec.,1958,48.662047,8.18628,,Keep,"GERMANY, Baden-Württemberg: Nordschwarzwald, Immenstein above Neusatzeck.",On old Castanea tree.,,179221,,Parmelia caperata,GERMANY,,,,,,,,,8,E,48,N,11,39,,,0,,,,,Flavoparmelia,caperata,,,,,,,,,,Flavoparmelia caperata (L.) Hale,,,,PARMELIACEAE,LICHENES,"GERMANY, Baden-Württemberg: Nordschwarzwald, Immenstein above Neusatzeck.",
B 60 0174604,,Flavoparmelia,caperata,Flavoparmelia caperata (L.) Hale,,,H. Reznik,,,,14. Juni,1959,49.363889,8.839167,,Keep,"GERMANY, Baden-Württemberg: Nordbaden, Langenzell im Kraichgau. Alt. 195 m.",alte Platanen.,P: Mark intensiv oy,178691,,,GERMANY,,,,,,,,,8,E,49,N,50,22,,,0,,,,195 m,Flavoparmelia,caperata,,,,,,,,,,Flavoparmelia caperata (L.) Hale,,,,PARMELIACEAE,LICHENES,"Baden-Württemberg: Nordbaden, Langenzell im Kraichgau.",
B 60 0174602,,Flavoparmelia,caperata,Flavoparmelia caperata (L.) Hale,"H. Reznik, test. O. Klement",,H. Reznik,,,,April,1959,48.653598,8.184886,,Keep,"GERMANY, Baden-Württemberg: Nordschwarzwald, Schönbrunn oberhalb Neusatzeck. Alt. 700 m.",auf Castanea vesca.,,178778,,,GERMANY,,,,,,,,c.,8,E,48,N,11,39,,,0,,,,700 m,Flavoparmelia,caperata,,,,,,,,,,Flavoparmelia caperata (L.) Hale,,,,PARMELIACEAE,LICHENES,"Baden-Württemberg: Nordschwarzwald, Schönbrunn oberhalb Neusatzeck.",
B 60 0146363,,Flavoparmelia,caperata,Flavoparmelia caperata,,,H. Breuer,,138,,30. Mai,1960,49.855505,6.418315,put at Guntherhof bus stop just S of town,Keep,"DEUTSCHLAND, Rheinland-Pfalz: Kr. Bitburg, Ferschweiler, Güntherhof.",,,97423,,Parmelia caperata (L.) Ach.,GERMANY,,,,,,,,,,,,,,,,,,,,,,Flavoparmelia,caperata,,,,,,,,,,Flavoparmelia caperata,,,,PARMELIACEAE,LICHENES,"Rheinland-Pfalz: Kr. Bitburg, Ferschweiler, Güntherhof.",
B 60 0146373,,Flavoparmelia,caperata,Flavoparmelia caperata,,,H. Breuer,,138,,30. Mai,1960,49.855505,6.418315,put at Guntherhof bus stop just S of town,Keep,"DEUTSCHLAND, Rheinland-Pfalz: Kr. Bitburg, Ferschweiler, Güntherhof.",,,97428,,Parmelia caperata (L.) Ach.,GERMANY,,,,,,,,,,,,,,,,,,,,,,Flavoparmelia,caperata,,,,,,,,,,Flavoparmelia caperata,,,,PARMELIACEAE,LICHENES,"Rheinland-Pfalz: Kr. Bitburg, Ferschweiler, Güntherhof.",
B 60 0190782,,Flavoparmelia,caperata,Flavoparmelia caperata (L.) Hale,,,H. Reznik,,4320,,May,1961,49.50375,8.962099,,Keep,"GERMANY, Baden-Württemberg: Nordbaden, Odenwald. Gammelsbachtal near Eberbach.",Be 138. On Quercus trees.,,179220,,Parmelia caperata,GERMANY,,,,,,,,,8,E,49,N,58,28,,,0,,,,,Flavoparmelia,caperata,,,,,,,,,,Flavoparmelia caperata (L.) Hale,,,,PARMELIACEAE,LICHENES,"GERMANY, Baden-Württemberg: Nordbaden, Odenwald. Gammelsbachtal near Eberbach.",
B 60 0190641,,Flavoparmelia,caperata,Flavoparmelia caperata (L.) Hale,,,H. Reznik,,4333,,easter,1961,49.419536,8.857772,,Keep,"GERMANY, Hessen: Odenwald, Darsberg near Klein-Gemünd. Wald am Vogelherd.",,,179219,,Parmelia caperata,GERMANY,,,,,,,,c.,8,E,49,N,51,25,,,0,,,,,Flavoparmelia,caperata,,,,,,,,,,Flavoparmelia caperata (L.) Hale,,,,PARMELIACEAE,LICHENES,"GERMANY, Hessen: Odenwald, Darsberg near Klein-Gemünd. Wald am Vogelherd.",
B 60 0146361,,Flavoparmelia,caperata,Flavoparmelia caperata,,,H. Breuer,,,,,1962,50.626653,6.950146,,Keep,"DEUTSCHLAND, Nordrhein-Westfalen: Kr. Bonn, Rheinbach.",,,97424,,Parmelia caperata (L.) Ach.,GERMANY,,Parmelia dubia,,,5307,4,,,,,,,,,,,,,,,,Flavoparmelia,caperata,,,,,,,,,,Flavoparmelia caperata,,,,PARMELIACEAE,LICHENES,"Nordrhein-Westfalen: Kr. Bonn, Rheinbach.",
B 60 0146372,,Flavoparmelia,caperata,Flavoparmelia caperata,,,H. Breuer,,,,08. April,1963,47.705563,9.196558,,Keep,"DEUTSCHLAND, Baden-Württemberg: Bodensee, Insel Mainau.",,,97422,,Parmelia caperata (L.) Ach.,GERMANY,,,,,,,,,,,,,,,,,,,,,,Flavoparmelia,caperata,,,,,,,,,,Flavoparmelia caperata,,,,PARMELIACEAE,LICHENES,"Baden-Württemberg: Bodensee, Insel Mainau.",
B 60 0146371,,Flavoparmelia,caperata,Flavoparmelia caperata,,,H. Breuer,,,,29. Juli,1963,50.598215,6.954622,,Keep,"DEUTSCHLAND, Nordrhein-Westfalen: Kr. Bonn, Rheinbach, Rheinbacher Stadtwald.",am Fuße von Quercus.,,97425,,Parmelia caperata (L.) Ach. f. subglauca (Nyl.) Harm.,GERMANY,,,,,5307,4,,,,,,,,,,,,,,,,Flavoparmelia,caperata,,,,,,,,,,Flavoparmelia caperata,,,,PARMELIACEAE,LICHENES,"Nordrhein-Westfalen: Kr. Bonn, Rheinbach, Rheinbacher Stadtwald.",
B 60 0146360,,Flavoparmelia,caperata,Flavoparmelia caperata,,,H. Breuer,,,,13. Juni,1970,50.609909,6.944885,,Keep,"DEUTSCHLAND, Nordrhein-Westfalen: Kr. Bonn, Rheinbach, Waldrand, Abt. 17. Alt. 290 m ü.M.","Epiphyt an Quercus petraea, am Fuß.",,97426,,Parmelia caperata (L.) Ach.,GERMANY,,,,,5307,4,,,,,,,,,,,,,,,,Flavoparmelia,caperata,,,,,,,,,,Flavoparmelia caperata,,,,PARMELIACEAE,LICHENES,"Nordrhein-Westfalen: Kr. Bonn, Rheinbach, Waldrand, Abt. 17. Alt. 290 m ü.M.",
B 60 0174180,,Flavoparmelia,caperata,Flavoparmelia caperata (L.) Hale,R. Düll,,J.-P. Frahm,,,,13. Okt.,1972,48.010066,7.831535,,Keep,"DEUTSCHLAND, Baden-Württemberg: Schwarzwald, Mooswald bei Freiburg.",an Quercus.,,115027,,Parmelia caperata (L.) Ach.,GERMANY,,,,,,,,,,,,,,,,,,,,,,Flavoparmelia,caperata,,,,,,,,,,Flavoparmelia caperata (L.) Hale,,,,PARMELIACEAE,LICHENES,"Baden-Württemberg: Schwarzwald, Mooswald bei Freiburg.",
,,Flavoparmelia,caperata,Flavoparmelia caperata (L.) Hale,H. Sipman,1991,H. Sipman,,25713,,17. sept.,1989,47.692,13.026685,,Keep,"GERMANY, BAYERN. Berchtesgaden, Marktschellenberg. Alt. 750 m. Along trail to Salzburger Hochthron, on Hochbartkogel. E-facing slope with remnants of old Fagus-forest, Picea and Abies.",,,38723,,,GERMANY,,,,,,,,,,,,,,,,,,,,,750 m,Flavoparmelia,caperata,,,,,,,,,,Flavoparmelia caperata (L.) Hale,,,,PARMELIACEAE,LICHENES,"BAYERN. Berchtesgaden, Marktschellenberg.",2183
B 60 0189086,,Flavoparmelia,caperata,Flavoparmelia caperata,K. Rux,2012,K. Rux,,,,10 Apr.,2012,52.473433,13.419516,"Strassenbahn does not see to go into Neukolln, so used intersection of Okerstrasse and Oderstrasse, about 5 blocks from the Leinestrasse transit stop (which is not Strassenbahn).",Keep,"GERMANY, Berlin: Neukölln, Okerstrasse, Strassenbahn.",On roadside Acer platanoides trunk in town.,,178258,,,GERMANY,,,,,,,,,13,E,52,N,"25,5","28,4",,,0,,,,,Flavoparmelia,caperata,,,,,,,,,,Flavoparmelia caperata,,,,PARMELIACEAE,LICHENES,"GERMANY, Berlin: Neukölln, Okerstrasse, Strassenbahn.",
B 60 0190113,,Flavoparmelia,caperata,Flavoparmelia caperata,H. Sipman,2012,H. Sipman & K. Rux,,60293,,13 Apr.,2012,52.382596,13.182764,,Keep,"GERMANY, Brandenburg: Stahnsdorf, Südwest-Kirchhof, S-side. Alt. 50 m.",On fallen branch in parkland.,,178254,,,GERMANY,,,,,,,,,13,E,52,N,"10,9","23,2",,,0,,,,50 m,Flavoparmelia,caperata,,,,,,,,,,Flavoparmelia caperata,,,,PARMELIACEAE,LICHENES,"Brandenburg: Stahnsdorf, Südwest-Kirchhof, S-side.",2183
B 60 0191353,,Flavoparmelia,caperata,Flavoparmelia caperata?,,,V. J. Grummann,,,,1964?,,,,,Drop,"DEUTSCHLAND, Berlin: Korkhaus Pfaueninsel? In in Zeitung dd. 19. Juni 1964)",On introduced cork plates.,,183745,,,GERMANY,,"Chrysothrix candelaris, Ramalina fastigiata, canariensis, lacera, Usnea sp.",,,,,,,13,E,52,N,"8,1","26,0",,,0,,,,,Flavoparmelia,caperata?,,,,,,,,,,Flavoparmelia caperata?,,,,PARMELIACEAE,LICHENES,"DEUTSCHLAND, Berlin: Korkhaus Pfaueninsel? In in Zeitung dd. 19. Juni 1964)",
B 60 0166853,,Graphis,elegans,Graphis elegans (Borr. ex Sm.) Ach.,,,,,,,,,,,,Drop,"DEUTSCHLAND: westlich Grossjörl, Flensburg.",,ex Follmann/B # 17893,107375,,,GERMANY,,,,,,,,,,,,,,,,,,,,,,Graphis,elegans,,,,,,,,,,Graphis elegans (Borr. ex Sm.) Ach.,,,,GRAPHIDACEAE,LICHENES,"westlich Grossjörl, Flensburg.",
,,Graphis,elegans,Graphis elegans (Sm.) Ach.,,,H. Sandstede,,,,,,,,,Drop,Oldenburgia: prope Dänikhorst.,ad corticem Ilicis.,,175468,,,GERMANY,,,Krypt. Exs. Vindob.,369,,,,,,,,,,,,,0,,,"Krypt. Exs. Vindob., Cent. IV, 1898, lich. dec. 10-12",,Graphis,elegans,,,,,,,,,,Graphis elegans (Sm.) Ach.,,,,GRAPHIDACEAE,LICHENES,Oldenburgia: prope Dänikhorst.,
B 60 0130505,,Halecania,viridescens,Halecania viridescens Coppins & P. James,H. Sipman,2005,H. Sipman,,53572,,6-May,2005,50.17665,6.6296,,Keep,"GERMANY, Rheinland-Pfalz, Kr. Daun: Dietzenley near Büscheich, wooded hill E of Birresborn. Alt. c. 600 m.",Scattered trees in forest on hilltop. On Acer platanoides young trunk.,,67756,,,GERMANY,,,,,5706,3,,,6,E,50,N,"37,4","13,3",,,,,,,c. 600 m,Halecania,viridescens,,,,,,,,,,Halecania viridescens Coppins & P. James,,,,CATILLARIACEAE,LICHENES,"Rheinland-Pfalz, Kr. Daun: Dietzenley near Büscheich, wooded hill E of Birresborn.",2183
B 60 0024635,,Hypotrachyna,afrorevoluta,Hypotrachyna afrorevoluta,P. Clerc,2014,Arnold,,,,Oct.,1880,47.752339,11.505027,,Keep,"DEUTSCHLAND, Bayern: [An Buchen in der Waldschlucht des Zwiesel ober dem Stallauer Weier bei Tölz, Oberbayern]",,,191534,,"Imbricaria revoluta Flk., det. Arnold",GERMANY,,,"Arnold, Lich. Exs.",137,,,,,,,,,,,,,0,,c,"Arnold, Lich. Exs.",,Imbricaria,sinuosa,,,,,,,,,,,,,,PHYSCIACEAE,LICHENES,,
B 60 0024653,,Hypotrachyna,afrorevoluta,Hypotrachyna afrorevoluta,P. Clerc,2014,Arnold,,,,Oct.,1880,47.752339,11.505027,,Keep,"DEUTSCHLAND, Bayern: [An Buchen in der Waldschlucht des Zwiesel ober dem Stallauer Weier bei Tölz, Oberbayern]",,,191535,,"Imbricaria revoluta Flk., det. Arnold",GERMANY,,,"Arnold, Lich. Exs.",137,,,,,,,,,,,,,0,,c,"Arnold, Lich. Exs.",,Imbricaria,sinuosa,,,,,,,,,,,,,,PHYSCIACEAE,LICHENES,,
B 60 0024636,,Hypotrachyna,afrorevoluta,Hypotrachyna afrorevoluta,P. Clerc,2014,Arnold,,,,21-May,1882,47.866213,12.01127,,Keep,"DEUTSCHLAND, Bayern: [Hochpangerfilz bei Aibling in Oberbayern]",An einigen jungen Fichten am Waldsaume.,,191533,,"Imbricaria revoluta (Flk.), det. Arnold",GERMANY,,,"Arnold, Lich. Exs.",221,,,,,,,,,,,,,0,,b,"Arnold, Lich. Exs.",,,,,,,,,,,,,,,,,,LICHENES,,
B 60 0024654,,Hypotrachyna,afrorevoluta,Hypotrachyna afrorevoluta,P. Clerc,2014,Sandstede,,,,Jan.,1892,53.18471,8.020932,put at Zchwishenahner Meer by Bad Zwischenahn along Oldenburger Str.,Keep,"DEUTSCHLAND, Niedersachsen: [Ohrwege bei Zwischenahn in Oldenburg]",An mittelgroßen Eichen in einem lichten Gehölze.,,148576,,Imbricaria revoluta Flk.,GERMANY,,,"Arnold, Lich. Exs.",1545,,,,,,,,,,,,,0,,,,,Imbricaria,revoluta,,,,,,,,,,Imbricaria revoluta Flk.,,,,PHYSCIACEAE,LICHENES,,
B 60 0077975,,Hypotrachyna,afrorevoluta,Hypotrachyna afrorevoluta,P. Clerc,2014,H. Sipman,,25714,,17. sept.,1989,47.692,13.026685,,Keep,"GERMANY, BAYERN. Berchtesgaden, Marktschellenberg.Along trail to Salzburger Hochthron, on Hochbartkogel. Alt. 750 m.","E-facing slope with remnants of old Fagus-forest, Picea and Abies.",,38724,,"Hypotrachyna revoluta (Flk.) Hale, det. H. Sipman 1991",GERMANY,"atranorin, gyrophoric",,,,,,,,,,,,,,,,,,,,750 m,Hypotrachyna,revoluta,,,,,,,,,,Hypotrachyna revoluta (Flk.) Hale,,,,PARMELIACEAE,LICHENES,"BAYERN. Berchtesgaden, Marktschellenberg.",2183
B 60 0024625,,Hypotrachyna,afrorevoluta,Hypotrachyna afrorevoluta,P. Clerc,2014,,,,,,,,,,Drop,Allgäuer Alpen.,,,150494,,"Parmelia revoluta, det. G. Lettau; Imbricaria sinuosa (Sm.)",GERMANY,,,"Britzelmayr, Lich. Exs.",611,,,,,,,,,,,,,0,,,,,Imbricaria,sinuosa,,,,,,,,,,Imbricaria sinuosa (Sm.),,,,PHYSCIACEAE,LICHENES,,
B 60 0141452,,Hypotrachyna,revoluta,Hypotrachyna revoluta,,,Saxen,,,,,1943,54.583333,9.433333,,Keep,"DEUTSCHLAND, Schleswig-Holstein: Steinholz bei Bollingstedt, an Esche.",Von Th. Müller im Juli 1963 erhalten.,,97452,,Parmelia revoluta Flörke,GERMANY,,,,,5407,2,,,,,,,,,,,,,,,,Hypotrachyna,revoluta,,,,,,,,,,Hypotrachyna revoluta,,,,PARMELIACEAE,LICHENES,"Schleswig-Holstein: Steinholz bei Bollingstedt, an Esche.",
B 60 0174577,,Hypotrachyna,revoluta,Hypotrachyna revoluta (Flörke) Hale,V. Wirth,,H. Reznik,,,,6-Apr,1961,48.653598,8.184886,,Keep,"GERMANY, Baden-Württemberg: Nordschwarzwald, Schönbrunn bei Neusatzeck.",S 619 A. auf Sorbus-Rinde.,,178777,,Parmelia revoluta Flk.,GERMANY,,Parmelia subaurifera Nyl.,,,,,,c.,8,E,48,N,11,39,,,0,,,,,Hypotrachyna,revoluta,,,,,,,,,,Hypotrachyna revoluta (Flörke) Hale,,,,PARMELIACEAE,LICHENES,"GERMANY, Baden-Württemberg: Nordschwarzwald, Schönbrunn bei Neusatzeck.",
,,Hypotrachyna,revoluta,Imbricaria revoluta Flk.,,,,,,,,,,,,Drop,,,GERMANY,,,"Arnold, Lich. Monac. Exs.",222,,,,,,,,,,,,,0,,,,,Imbricaria,revoluta,,,,,,,,,,Imbricaria revoluta Flk.,,,,PHYSCIACEAE,LICHENES,,,,,,
B 60 0159207,,Lecanographa,amylacea,Lecanactis amylacea (Ehrh.) Arnold,,,,,,,,,,,,Drop,"DEUTSCHLAND, Baden-Württemberg: Lorch an der Rems.",,ex Follmann/B # 17840,107403,,,GERMANY,,,,,,,,,,,,,,,,,,,,,,Lecanactis,amylacea,,,,,,,,,,Lecanactis amylacea (Ehrh.) Arnold,,,,ROCCELLACEAE,LICHENES,Baden-Württemberg: Lorch an der Rems.,
,,Lecanographa,viridescens,Lecanactis amylacea Ehrh.,,,,,,,,,,,,Drop,,,,148976,,,GERMANY,,,"Arnold, Lich. Monac. Exs.",126,,,,,,,,,,,,,0,,,,,Lecanactis,amylacea,,,,,,,,,,Lecanactis amylacea Ehrh.,,,,ROCCELLACEAE,LICHENES,,
B 60 0163218,,Lecanora,hybocarpa,Lecanora hybocarpa,H. Sipman,2009,G. Follmann,,,,9-Jul,1958,47.855399,7.929125,,Keep,"GERMANY, Baden-Württemberg: Sorbus aucuparia trees W above Todtnauberg. Alt. c. 1100 m.",,,108233,,,GERMANY,"atranorin, fatties.",,,,,,,,7,E,47,N,"56,0","51,1",,,,,,,c. 1100 m,Lecanora,hybocarpa,,,,,,,,,,Lecanora hybocarpa,,,,LECANORACEAE,LICHENES,Baden-Württemberg: Sorbus aucuparia trees W above Todtnauberg.,2183
B 60 0171726,,Lecanora,hybocarpa,Lecanora hybocarpa,H. Sipman,2009,G. Follmann,,,,9-Jul,1958,47.855399,7.929125,,Keep,"GERMANY, Baden-Württemberg: Sorbus aucuparia trees W above Todtnauberg. Alt. c. 1100 m.",,,108235,,,GERMANY,"atranorin, roccellic?",,,,,,,,7,E,47,N,"56,0","51,1",,,,,,,c. 1100 m,Lecanora,hybocarpa,,,,,,,,,,Lecanora hybocarpa,,,,LECANORACEAE,LICHENES,Baden-Württemberg: Sorbus aucuparia trees W above Todtnauberg.,2183
B 60 0123685,,Lecanora,hybocarpa,Lecanora hybocarpa (Tuck.) Brodo,H. Sipman,2001,H. Sipman,,47463,,11-Mar,2001,53.283333,11.983333,,Keep,"GERMANY, Brandenburg: Landkr. Prignitz, Krumbeck. Alt. c. 50 m.",On trunk of  Acer platanoides tree along road among arable fields.,,60915,,Lecanora chlarotera Nyl.,GERMANY,,,,,2737,2,,,,,,,,,,,,,,,c. 50 m,Lecanora,hybocarpa,,,,,,,,,,Lecanora hybocarpa (Tuck.) Brodo,,,,LECANORACEAE,LICHENES,"Brandenburg: Landkr. Prignitz, Krumbeck.",2183
B 60 0185651,,Melanohalea,elegantula,Melanohalea elegantula (Zahlbr.) O. Blanco et al.,H. Sipman,2010,"H. Sipman, P. & B. v.d. Boom",,58339,,30 Aug.,2010,52.43068,13.122508,,Keep,"GERMANY, Berlin: southern part of lake Wannsee, island Pfaueninsel. Alt. c. 40 m.",On tree in park.,med. C-.,122069,,,GERMANY,,Melanelixia fuliginosa ssp. glabratula (Lamy) J.R. Laundon (C+ red),,,,,,,13,E,52,N,"07,3","26,0",,,,,,,c. 40 m,Melanohalea,elegantula,,,,,,,,,,Melanohalea elegantula (Zahlbr.) O. Blanco et al.,,,,,,"Berlin: southern part of lake Wannsee, island Pfaueninsel.",2183
B 60 0141407,,Melanohalea,laciniatula,Melanelia laciniatula,,,H. Breuer,,,,13. Sept.,1963,50.360743,6.477831,,Keep,"DEUTSCHLAND, Nordrhein-Westfalen: Kr. Schleiden, Kronenburg, Hammerhütte, Kyllbrücke.",* die gehäuften Isidien sprechen für P. glabratula,,97538,,Parmelia laciniatula (Flag.) Zahlbr.,GERMANY,,Parmelia glabratula,,,,,,,,,,,,,,,,,,,,Melanelia,laciniatula,,,,,,,,,,Melanelia laciniatula,,,,PARMELIACEAE,LICHENES,"Nordrhein-Westfalen: Kr. Schleiden, Kronenburg, Hammerhütte, Kyllbrücke.",
B 60 0141408,,Melanohalea,laciniatula,Melanelia laciniatula,,,H. Breuer,,,,09. Sept.,1963,50.360852,6.48731,,Keep,"DEUTSCHLAND, Nordrhein-Westfalen: Kr. Schleiden, Kronenburg, Kyll-Tal. Alt. 460 m ü. M.",an Fraxinus.,,97537,,Parmelia laciniatula (Flag. ex Oliv.) Zahlbr.,GERMANY,,,,,,,,,,,,,,,,,,,,,460 m ü. M,Melanelia,laciniatula,,,,,,,,,,Melanelia laciniatula,,,,PARMELIACEAE,LICHENES,"Nordrhein-Westfalen: Kr. Schleiden, Kronenburg, Kyll-Tal.",
B 60 0187192,,Melanohalea,laciniatula,Melanelia laciniatula,H. Sipman,2011,Jörg GELBRECHT,,,,10-Jun,2011,52.415256,13.869495,,Keep,"DEUTSCHLAND, Brandenburg: Löcknitztal, c. 4 Km östl. von Erkner. Klein Wall. Alt. c. 40 m.",Picea twigs near the soil.,,137920,,,GERMANY,,Platismatia glauca,,,,,,,13,E,52,N,"53,1","25,2",,,0,,,,c. 40 m,Melanelia,laciniatula,,,,,,,,,,Melanelia laciniatula,,,,PARMELIACEAE,LICHENES,"Brandenburg: Löcknitztal, c. 4 Km östl. von Erkner. Klein Wall.",2183
,,Micarea,viridileprosa,Micarea viridileprosa,,,H. Sipman & P. van de Boom,,47628,,10 Feb.,2002,52.176299,13.938225,,Keep,"DEUTSCHLAND, Brandenburg, Kr. Beeskow: Bugk, ca. 8 km S of Storkow. E-shore of lake E of the village. Alt. ca. 50 m.",Pinus-dominated forest with swampy patches. On wet soil of tussock in swamp.,,61130,,,GERMANY,,,,,3852,2,,c.,14,E,53,N,0,0,,,,,,,ca. 50 m,Micarea,viridileprosa,,,,,,,,,,Micarea viridileprosa,,,,MICAREACEAE,LICHENES,"Brandenburg, Kr. Beeskow: Bugk, ca. 8 km S of Storkow. E-shore of lake E of the village.",
B 60 0148899,,Micarea,viridileprosa,Micarea viridileprosa,H. Sipman,2007,"H. Sipman, A. Aptroot & D. Heinrich",,55029,,24-Mar,2007,53.052289,13.81462,,Keep,"GERMANY, Brandenburg: Landkr. Uckermark. NSG Poratzer Moränenlandschaft. 2 km SE of Poratz. Alt. 80 m.","Forest on drained bog in depression. On decaying, fallen log.",th. C+ red.,99021,,,GERMANY,,,,,2948,2,,ca.,13,E,53,N,48,2,,,,,,,80 m,Micarea,viridileprosa,,,,,,,,,,Micarea viridileprosa,,,,MICAREACEAE,LICHENES,Brandenburg: Landkr. Uckermark. NSG Poratzer Moränenlandschaft. 2 km SE of Poratz.,2183
B 60 0188676,,Micarea,viridileprosa,Micarea viridileprosa,H. Sipman,2011,H. Sipman & D. Heinrich,,60281,,9 Nov.,2011,53.330917,13.365735,,Keep,"DEUTSCHLAND, Mecklenburg-Vorpommern: NSG Heilige Hallen, 3,5 km W Feldberg, S of road to Lychen. Alt. ca. 140 m.",An Baumteller in alter Fagus Wald auf Sandboden.,th. C+ red.,178238,,,GERMANY,,,,,,,,,13,E,53,N,"22,5","19,3",,,0,,,,ca. 140 m,Micarea,viridileprosa,,,,,,,,,,Micarea viridileprosa,,,,MICAREACEAE,LICHENES,"Mecklenburg-Vorpommern: NSG Heilige Hallen, 3,5 km W Feldberg, S of road to Lychen.",2183
,,Nephroma,laevigatum,Nephroma laevigatum Hoffm.,,,Fuisting?,,,,Juli,1860,50.701381,7.098416,,Keep,"[DEUTSCHLAND, Nordrhein-Westfalen:] Buchen..... des Venusberges bei Bonn.",,,1214,,,GERMANY,,,,,,,,,,,,,,,,,,,,,,Nephroma,laevigatum,,,,,,,,,,Nephroma laevigatum Hoffm.,,,,PELTIGERACEAE,LICHENES,"[DEUTSCHLAND, Nordrhein-Westfalen:] Buchen..... des Venusberges bei Bonn.",
,,Nephroma,laevigatum,Nephroma laevigatum Ach.,,,Beckhaus,,,,Dec.,1862,,,Heiligenberg is in far south and not near Hoxter,Drop,"[DEUTSCHLAND, Nordrhein-Westfalen:] Heiligenberg bei Höxter, an Dorngestrüpp.",,,1224,,,GERMANY,,,,,,,,,,,,,,,,,,,,,,Nephroma,laevigatum,,,,,,,,,,Nephroma laevigatum Ach.,,,,PELTIGERACEAE,LICHENES,"[DEUTSCHLAND, Nordrhein-Westfalen:] Heiligenberg bei Höxter, an Dorngestrüpp.",
